Image,Detections,Outlier
1 - Copy (2).png,1,No
1 - Copy (3).png,1,No
1 - Copy (4).png,1,No
1 - Copy (5).png,1,No
1 - Copy (6).png,1,No
1 - Copy (7).png,1,No
1 - Copy.png,1,No
1.png,1,No
10.jpg,2,No
11.jpg,0,No
12.jpg,1,No
13.jpg,5,No
14.jpg,5,No
15.jpg,18,No
16 - Copy (2).jpg,29,Yes
16 - Copy (3).jpg,29,Yes
16 - Copy.jpg,29,Yes
16.jpg,29,Yes
17.jpg,29,Yes
18.jpg,2,No
2.png,5,No
3.png,4,No
4.png,1,No
5.png,7,No
6.png,1,No
7.png,10,No
8.png,10,No
9.png,2,No
